BrandNo,CampaignNo,CampStartDay,CampEndDay,CampBudget,AdGroupNo,AdExpense,AdStartDay,AdEndDay,E_impressions,impressions,E_clicks,clicks,E_views,views,ChannelGoodsNo,ChannelGoodsNm,ChannelNo,Level1Cd,Level2Cd,Level1CdNm,month,weeks,days,season,ratio,naver,facebook,instagram,gdn,kakao,youtube,etc,Target_purpose,Target_gender,Target_age_7_9,Target_age_10_14,Target_age_15_19,Target_age_20_24,Target_age_25_29,Target_age_30_34,Target_age_35_39,Target_age_40_44,Target_age_45_49,Target_age_50_54,Target_age_55_59,Target_age_60_64,Target_age_65_69,Target_age_70_74,Target_age_75_79,Ad_Material,AdvertiserNo,Advertiser_Naver_Yn,Advertiser_Facebook_Yn,Advertiser_Instragram_Yn,Advertiser_Google_Yn,Advertiser_Kakao_Yn,Advertiser_Youtube_Yn,Advertiser_Etc_Yn,Level1Cd_Naver_Ratio,Level1Cd_Facebook_Ratio,Level1Cd_Instagram_Ratio,Level1Cd_Google_Ratio,Level1Cd_Kakao_Ratio,Level1Cd_Youtube_Ratio,Level1Cd_Etc_Ratio
1096,360,2019-03-01,2019-03-31,16220000,,,,,,,,,,,,,,50000,54000,화장품 및 보건용품,3,4,30,Spring,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844,1,0,0,0,0,0,0,0.811704835,0.006785411,0.04749788,0.002544529,0.043256997,0.008481764,0.079728584
1098,361,2019-03-03,2019-04-01,9200000,,,,,,,,,,,,,,50000,50500,화장품 및 보건용품,3,4,29,Spring,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844,1,0,0,0,0,0,0,0.811704835,0.006785411,0.04749788,0.002544529,0.043256997,0.008481764,0.079728584
1164,362,2019-03-01,2019-03-31,9810000,,,,,,,,,,,,,,50000,50500,화장품 및 보건용품,3,4,30,Spring,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844,1,0,0,0,0,0,0,0.811704835,0.006785411,0.04749788,0.002544529,0.043256997,0.008481764,0.079728584
1091,363,2019-03-01,2019-03-31,11360000,,,,,,,,,,,,,,50000,51000,화장품 및 보건용품,3,4,30,Spring,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844,1,0,0,0,0,0,0,0.811704835,0.006785411,0.04749788,0.002544529,0.043256997,0.008481764,0.079728584
1099,364,2019-03-01,2019-03-31,15389662,,,,,,,,,,,,,,50000,50500,화장품 및 보건용품,3,4,30,Spring,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844,1,0,0,0,0,0,0,0.811704835,0.006785411,0.04749788,0.002544529,0.043256997,0.008481764,0.079728584
1157,365,2019-02-08,2019-03-09,4500000,,,,,,,,,,,,,,20000,29900,식품,2,4,29,Winter,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,844,1,0,0,0,0,0,0,0.432960894,0.019553073,0.029329609,0.025139665,0.101955307,0.106145251,0.284916201
1101,366,2019-02-12,2019-03-13,1000000,,,,,,,,,,,,,,50000,54500,화장품 및 보건용품,2,4,29,Winter,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844,1,0,0,0,0,0,0,0.811704835,0.006785411,0.04749788,0.002544529,0.043256997,0.008481764,0.079728584
1093,367,2019-03-01,2019-03-31,1020000,,,,,,,,,,,,,,50000,50500,화장품 및 보건용품,3,4,30,Spring,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844,1,0,0,0,0,0,0,0.811704835,0.006785411,0.04749788,0.002544529,0.043256997,0.008481764,0.079728584
1097,368,2019-02-03,2019-03-04,1500000,,,,,,,,,,,,,,20000,25500,식품,2,4,29,Winter,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844,1,0,0,0,0,0,0,0.432960894,0.019553073,0.029329609,0.025139665,0.101955307,0.106145251,0.284916201
1158,369,2019-02-13,2019-03-16,1500000,,,,,,,,,,,,,,50000,52000,화장품 및 보건용품,2,4,31,Winter,"""[1.0, 0, 0, 0, 0, 0, 0]""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844,1,0,0,0,0,0,0,0.811704835,0.006785411,0.04749788,0.002544529,0.043256997,0.008481764,0.079728584
